stop_id,stop_city
2328350,Springfield
2328351,Springfield
2328352,Springfield
2328353,Springfield
2328354,Springfield
2328355,Springfield
2328356,Springfield
2328357,Springfield
2328358,Springfield
2328359,New Castle
2328360,Springfield
2328361,Springfield
2328362,Springfield
2328363,Springfield
2328364,Springfield
2328365,Springfield
2328366,Springfield
2328367,Springfield
2328368,El Jebel
2328370,Springfield
2328371,Springfield
2328372,Springfield
2328373,Springfield
2328374,Springfield
2328375,Springfield
2328376,Springfield
2328377,Springfield
2328378,Springfield
2328379,Springfield
2328380,Springfield
2328381,Springfield
2328382,Springfield
2328383,Springfield
2328384,Springfield
2328385,Springfield
2328386,Springfield
2328387,Springfield
2328388,Springfield
2328389,Springfield
2328390,Springfield
2328391,Springfield
2328392,Springfield
2328393,Springfield
2328394,Springfield
2328395,Springfield
2328396,Springfield
2328398,Aspen
2328399,Springfield
2328400,Springfield
2328401,Springfield
2328402,Springfield
2328403,Springfield
2328404,Springfield
2328405,Springfield
2328406,Springfield
2328407,Springfield
2328408,Springfield
2328409,Springfield
2328411,Springfield
2328412,Springfield
2328413,Springfield
2328414,Springfield
2328419,Springfield
2328420,Springfield
2328421,Springfield
2328422,Springfield
2328423,Springfield
2328424,Springfield
2328426,Aspen
2328427,Springfield
2328428,Springfield
2328429,Springfield
2328430,Springfield
2328431,Springfield
2328433,Springfield
2328435,Springfield
2328436,Springfield
2328437,Springfield
2328438,Springfield
2328439,Springfield
2328440,Springfield
2328441,Springfield
2328442,Springfield
2328443,Springfield
2328444,Springfield
2328446,Woody Creek
2328447,Springfield
2328448,Springfield
2328449,Springfield
2328450,Springfield
2328451,Springfield
2328452,Springfield
2328453,Springfield
2328454,Springfield
2328455,Springfield
2328456,Springfield
2328457,Springfield
2328458,Springfield
2328459,Springfield
2328460,Springfield
2328461,Springfield
2328462,Springfield
2328463,Springfield
2328464,Springfield
2328465,Springfield
2328466,Aspen
2328467,Springfield
2328468,Springfield
2328469,Springfield
2328470,Springfield
2328471,Springfield
2328472,Springfield
2328473,Springfield
2328474,Springfield
2328475,Springfield
2328476,Springfield
2328477,Springfield
2328478,Springfield
2328479,Springfield
2328480,Springfield
2328481,Springfield
2328482,Springfield
2328483,Springfield
2328484,Springfield
2328485,Glenwood Springs
2328486,Springfield
2328487,Springfield
2328488,Springfield
2328489,Aspen
2328490,Springfield
2328491,Springfield
2328492,Springfield
2328493,New Castle
2328496,Springfield
2328497,Springfield
2328498,Springfield
2328499,Springfield
2328500,Springfield
2328501,Springfield
2328503,Springfield
2328505,Springfield
2328507,Springfield
2328508,Springfield
2328509,Springfield
2328510,Springfield
2328511,Springfield
2328512,Springfield
2328513,Springfield
2328514,Springfield
2328515,El Jebel
2328516,Springfield
2328517,Springfield
2328518,Springfield
2328519,El Jebel
2328520,Springfield
2328521,Springfield
2328522,Springfield
2328523,Glenwood Springs
2328524,Springfield
2328525,Snowmass Village
2328526,Springfield
2328527,Springfield
2328528,Springfield
2328529,Springfield
2328530,Springfield
2328531,Glenwood Springs
2328532,Springfield
2328533,Springfield
2328534,Springfield
2328535,Springfield
2328536,Springfield
2328537,Springfield
2328538,Springfield
2328539,Springfield
2328540,Springfield
2328541,Springfield
2328542,Springfield
2328543,Springfield
2328545,Springfield
2328546,Springfield
2328547,Springfield
2328548,Springfield
2328550,Springfield
2328551,Springfield
2328552,Springfield
2328553,Springfield
2328554,Springfield
2328555,Springfield
2328556,Springfield
2328558,Springfield
2328559,Springfield
2328562,Springfield
2328564,Springfield
2328565,Springfield
2328566,Springfield
2328567,Springfield
2328568,Springfield
2328569,Springfield
2328571,Springfield
2328573,Springfield
2329757,Springfield
2329758,Springfield
2329759,Springfield
2613904,Glenwood Springs
2613905,Aspen
2618227,Aspen
